,S0083,S0089,S0106,S0107,S0110,S0111,S0173,S0177,S0179,S0188,S0199,S0206,S0208,S0209,S0216,S0225,S0227,S0230,S0238,S0245,S0249,S0250,S0260,S0268,S0284,S0291,S0299,S0301,S0309,S0314,S0324,S0337,S0338,S0339,S0349,S0351,S0353,S0372,S0376,S0387,S0392,S0407,S0410,S0429,S0430,S0439,S0451,S0456,S0462,S0463,S0482,S0483,S0495,S0509,S0516,S0517,S0545,S0548,S0562,S0568,S0569,S0573,S0576,S0579,S0586,S0587,W0001,W0002,W0003,W0004,W0005,W0006,W0008,W0009,W0010,W0011,W0013,W0014,W0016,W0017,W0018,W0019,W0023,W0026,W0029,W0031,W0035,W0037,W0039,W0040,W0043,W0044,W0046,W0047,W0048,W0049,W0050,W0051,W0052,W0056,W0057,W0058,W0059,W0060,W0061,W0062,W0068,W0069,W0070,W0073,W0074,W0075,W0076,W0077,W0078,W0079,W0081,W0084,W0087,W0088,W0089,W0092,W0093,W0094,W0096,W0104,W0106,W0107,W0109,W0112,W0114,W0118,W0119,W0121,W0124,W0130,W0133,W0137,W0138,W0141,W0142,W0143,W0144,W0145,W0148,W0155,W0158,W0159,W0160,W0161,W0165,W0166,W0172,W0178,W0181,W0182,W0186,W0188,W0190,W0193,W0195,W0197,W0198,W0199,W0200,W0205,W0207,W0216,W0219,W0220,W0221,W0228,W0229,W0232,W0233,W0234,W0236,W0240,W0244,W0251,W0253,W0254,W0258,W0260,W0264,W0266,W0271,W0272,W0273,W0275,W0276,W0278,W0279,W0283,W0284,W0291,W0293,W0294,W0297,W0298,W0299,W0302,W0303,W0304,W0314,W0318,W0319,W0321,W0322,W0325,W0326,W0328,W0329,W0332,W0334,W0341,W0342,W0345,W0346,W0348,W0352
2023-01-01,2,2,2,6,6,2,2,2,6,2,2,2,5,2,6,2,5,2,2,6,2,2,6,4,6,2,2,2,6,6,4,2,2,2,2,4,2,6,2,2,6,4,2,2,6,6,2,6,2,2,2,2,2,4,2,2,6,2,2,6,6,6,4,2,2,2,2,4,4,2,2,4,2,2,2,1,2,6,2,2,2,2,4,2,2,2,2,2,4,6,6,4,2,6,6,2,4,2,6,2,6,2,6,6,6,2,2,6,2,2,2,2,2,6,2,6,2,2,2,6,2,2,4,2,1,6,1,2,6,6,2,2,2,2,2,2,6,2,6,2,2,2,4,2,6,2,2,1,6,4,5,2,6,2,5,2,5,5,2,2,2,2,2,6,2,2,2,2,2,2,2,5,5,2,2,4,6,2,1,6,2,2,6,2,2,2,2,2,6,2,1,2,1,2,2,2,2,2,5,4,4,2,2,2,2,2,2,6,2,6,6,6,2,4,2,6,2,6,6,6,6
2023-01-02,2,2,2,5,2,2,2,2,6,6,2,6,2,2,2,2,5,2,2,6,2,2,6,5,4,2,5,2,2,5,4,6,2,2,2,6,2,2,2,2,2,5,2,6,6,2,2,5,2,2,2,2,2,5,2,2,5,2,2,5,5,4,4,2,2,2,2,6,6,2,2,5,2,2,2,6,2,5,5,6,6,2,4,2,2,2,2,2,7,2,6,6,2,4,2,6,2,2,5,2,4,2,2,6,2,2,6,2,6,2,2,2,2,6,2,6,2,2,2,6,6,2,6,6,6,5,7,2,5,2,2,2,6,5,2,2,5,6,6,2,2,2,6,2,2,2,2,6,6,5,6,2,5,5,6,2,5,2,2,2,2,2,2,5,2,2,2,5,2,2,2,4,6,2,2,4,6,2,5,5,6,2,5,2,2,2,2,2,6,2,5,2,7,2,5,6,6,2,5,5,2,2,2,2,6,2,2,6,2,6,6,2,5,4,2,6,2,2,5,2,6
2023-01-03,2,2,2,2,5,2,2,2,5,4,5,4,2,6,5,2,2,2,2,2,5,2,5,2,4,2,2,5,2,5,4,5,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,5,2,2,2,5,5,5,5,2,2,2,2,2,6,2,2,2,2,2,5,5,2,2,2,2,5,2,2,7,2,2,2,2,2,2,5,2,2,4,2,5,2,2,5,2,2,2,2,5,2,2,2,6,5,2,2,2,2,6,2,5,2,2,2,2,2,5,2,2,2,5,7,2,2,5,2,2,2,2,5,2,5,5,6,5,5,5,2,2,2,2,2,2,2,2,2,2,6,2,5,2,2,2,2,2,2,2,2,5,2,2,5,5,2,2,2,2,5,2,2,2,2,5,6,2,5,2,2,2,2,2,2,5,2,2,5,2,7,4,2,5,6,2,5,2,2,5,2,2,2,2,2,5,2,2,4,2,2,2,6,4,2,6,2,2,2
2023-01-04,2,2,2,2,2,2,2,2,5,2,5,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,5,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,2,2,2,2,2,2,2,2,2,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,5,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,2,2,2,2,2,2,2,2
2023-01-05,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
